num	oflo	seq	per	err	lqi	rssi	ed	gain	status	time	fp	length
1	0	1	0	0	255	75	100	181	16384	812352	0	18
2	0	2	0	0	255	71	116	181	16384	839102	0	18
3	0	3	0	0	255	70	120	181	16384	865853	0	18
4	0	4	0	0	255	72	112	181	16384	892602	0	18
5	0	5	0	0	255	74	104	181	16384	919353	0	18
6	0	6	0	0	255	81	76	182	16384	946102	0	18
7	0	7	0	1	252	86	56	246	16384	972853	0	18
8	0	8	0	0	255	77	92	182	16384	999602	0	18
9	0	9	0	0	255	76	96	181	16384	1026353	0	18
10	0	10	0	0	255	75	100	181	16384	4526	0	18
11	0	11	0	0	255	76	96	181	16384	31277	0	18
12	0	12	0	0	255	76	96	181	16384	58026	0	18
13	0	13	0	0	255	78	88	182	16384	84777	0	18
14	0	14	0	0	255	77	92	182	16384	111526	0	18
15	0	15	0	0	255	78	88	182	16384	138277	0	18
16	0	16	0	0	255	78	88	182	16384	165026	0	18
17	0	17	0	0	255	77	92	182	16384	191777	0	18
18	0	18	0	0	255	77	92	182	16384	218526	0	18
19	0	19	0	0	255	75	100	181	16384	245277	0	18
20	0	20	0	0	255	72	112	181	16384	272026	0	18
21	0	21	0	0	255	71	116	181	16384	298777	0	18
22	0	22	0	0	255	70	120	181	16384	325526	0	18
23	0	23	0	0	255	70	120	180	16384	352277	0	18
24	0	24	0	0	255	69	124	180	16384	379026	0	18
25	0	25	0	0	255	69	124	180	16384	405777	0	18
26	0	26	0	0	255	69	124	180	16384	432526	0	18
27	0	27	0	0	255	68	128	180	16384	459277	0	18
28	0	28	0	0	255	68	128	180	16384	486026	0	18
29	0	29	0	0	255	68	128	180	16384	512777	0	18
30	0	30	0	0	255	69	124	180	16384	539526	0	18
31	0	31	0	0	255	69	124	180	16384	566277	0	18
32	0	32	0	0	255	70	120	181	16384	593026	0	18
33	0	33	0	0	255	71	116	181	16384	619776	0	18
34	0	34	0	0	255	73	108	181	16384	646526	0	18
35	0	35	0	0	255	75	100	181	16384	673277	0	18
36	0	36	0	0	255	77	92	182	16384	700026	0	18
37	0	37	0	0	255	77	92	182	16384	726776	0	18
38	0	38	0	0	255	77	92	182	16384	753526	0	18
39	0	39	0	0	255	77	92	182	16384	780276	0	18
40	0	40	0	0	255	77	92	182	16384	807026	0	18
41	0	41	0	0	255	75	100	181	16384	833776	0	18
42	0	42	0	0	255	74	104	181	16384	860526	0	18
43	0	43	0	0	255	74	104	181	16384	887276	0	18
44	0	44	0	0	255	72	112	181	16384	914026	0	18
45	0	45	0	0	255	72	112	181	16384	940776	0	18
46	0	46	0	0	255	72	112	181	16384	967526	0	18
47	0	47	0	0	255	73	108	181	16384	994276	0	18
48	0	48	0	0	255	73	108	181	16384	1021026	0	18
49	0	49	0	0	255	74	104	181	16384	1047776	0	18
50	0	50	0	0	255	72	112	181	16384	25950	0	18
51	0	51	0	0	255	71	116	181	16384	52700	0	18
52	0	52	0	0	255	70	120	180	16384	79450	0	18
53	0	53	0	0	255	69	124	180	16384	106200	0	18
54	0	54	0	0	255	69	124	180	16384	132950	0	18
55	0	55	0	0	255	69	124	180	16384	159700	0	18
56	0	56	0	0	255	69	124	180	16384	186450	0	18
57	0	57	0	0	255	69	124	180	16384	213200	0	18
58	0	58	0	0	255	70	120	181	16384	239950	0	18
59	0	59	0	0	255	71	116	181	16384	266700	0	18
60	0	60	0	0	255	73	108	181	16384	293450	0	18
61	0	61	0	0	255	74	104	181	16384	320200	0	18
62	0	62	0	0	255	73	108	181	16384	346950	0	18
63	0	63	0	0	255	71	116	181	16384	373700	0	18
64	0	64	0	0	255	70	120	181	16384	400450	0	18
65	0	65	0	0	255	69	124	180	16384	427200	0	18
66	0	66	0	0	255	69	124	180	16384	453950	0	18
67	0	67	0	0	255	70	120	181	16384	480700	0	18
68	0	68	0	0	255	73	108	181	16384	507450	0	18
69	0	69	0	5	238	85	60	246	16384	534201	0	18
70	0	70	0	0	255	80	80	182	16384	560950	0	18
71	0	71	0	0	255	75	100	181	16384	587700	0	18
